"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2024","4,484.43","4,547.17","4,551.82","4,471.28","30.32M","-1.14%"
"06/25/2024","4,536.10","4,552.32","4,553.12","4,523.13","26.64M","-0.68%"
"06/24/2024","4,567.20","4,490.42","4,571.49","4,490.42","37.63M","0.30%"
"06/20/2024","4,553.64","4,504.32","4,553.64","4,500.57","70.26M","1.03%"
"06/19/2024","4,507.33","4,533.73","4,546.78","4,504.76","31.71M","-0.75%"
"06/18/2024","4,541.32","4,518.19","4,541.32","4,507.74","29.31M","0.77%"
"06/17/2024","4,506.67","4,495.47","4,511.64","4,468.88","28.15M","0.09%"
"06/14/2024","4,502.77","4,570.16","4,571.04","4,477.84","41.92M","-1.44%"
"06/13/2024","4,568.63","4,598.64","4,610.96","4,557.41","35.88M","-0.82%"
"06/12/2024","4,606.48","4,553.50","4,610.17","4,549.13","32.97M","1.33%"
"06/11/2024","4,545.94","4,590.47","4,593.36","4,520.00","30.28M","-0.92%"
"06/10/2024","4,588.25","4,590.74","4,602.20","4,564.87","27.92M","-0.34%"
"06/07/2024","4,603.83","4,614.03","4,620.72","4,577.75","27.40M","-0.30%"
"06/06/2024","4,617.54","4,638.77","4,638.77","4,597.31","23.08M","-0.11%"
"06/05/2024","4,622.81","4,621.04","4,635.54","4,606.30","27.41M","0.38%"
"06/04/2024","4,605.39","4,640.34","4,648.23","4,586.25","31.24M","-0.88%"
"06/03/2024","4,646.50","4,652.80","4,686.84","4,638.69","31.41M","0.43%"
"05/31/2024","4,626.75","4,623.86","4,641.32","4,618.67","125.24M","0.09%"
"05/30/2024","4,622.54","4,591.38","4,631.48","4,587.53","24.93M","0.37%"
"05/29/2024","4,605.58","4,665.51","4,665.98","4,604.66","35.11M","-1.63%"
"05/28/2024","4,681.69","4,706.40","4,711.64","4,672.09","23.76M","-0.34%"
"05/27/2024","4,697.48","4,677.59","4,700.02","4,676.05","17.33M","0.40%"
"05/24/2024","4,678.68","4,666.46","4,682.99","4,659.79","23.49M","-0.20%"
"05/23/2024","4,687.85","4,706.73","4,727.56","4,677.10","24.23M","-0.43%"
"05/22/2024","4,707.93","4,702.81","4,714.17","4,693.68","31.80M","-0.04%"
"05/21/2024","4,709.85","4,706.18","4,714.33","4,684.47","33.00M","-0.07%"
"05/20/2024","4,713.06","4,716.96","4,733.36","4,713.06","27.36M","0.14%"
"05/17/2024","4,706.54","4,703.01","4,718.27","4,682.81","36.12M","-0.10%"
"05/16/2024","4,711.41","4,673.69","4,714.01","4,669.93","36.83M","0.75%"
"05/15/2024","4,676.19","4,696.76","4,713.06","4,664.91","50.57M","-0.38%"
"05/14/2024","4,693.87","4,657.43","4,728.33","4,654.24","57.65M","0.73%"
"05/13/2024","4,659.93","4,651.65","4,660.50","4,632.87","33.12M","0.29%"
"05/10/2024","4,646.24","4,611.84","4,660.70","4,611.17","41.12M","1.66%"
"05/08/2024","4,570.56","4,567.77","4,595.52","4,552.57","37.28M","0.09%"
"05/07/2024","4,566.64","4,567.90","4,573.81","4,542.49","37.53M","0.26%"
"05/06/2024","4,554.81","4,508.97","4,554.92","4,500.69","23.86M","1.22%"
"05/03/2024","4,499.71","4,488.13","4,535.02","4,488.13","30.09M","0.65%"
"05/02/2024","4,470.49","4,454.97","4,481.07","4,431.56","39.98M","0.33%"
"04/30/2024","4,455.78","4,474.91","4,480.70","4,455.78","40.59M","-0.32%"
"04/29/2024","4,470.15","4,450.98","4,470.35","4,450.98","36.08M","0.56%"
"04/26/2024","4,445.22","4,405.94","4,482.28","4,405.94","38.86M","1.12%"
"04/25/2024","4,396.01","4,482.98","4,496.54","4,382.31","56.90M","-1.87%"
"04/24/2024","4,479.98","4,528.89","4,528.89","4,476.22","39.83M","-0.36%"
"04/23/2024","4,496.09","4,499.61","4,503.62","4,477.21","43.72M","0.19%"
"04/22/2024","4,487.47","4,451.03","4,495.96","4,450.07","40.99M","1.10%"
"04/19/2024","4,438.82","4,385.66","4,443.98","4,376.34","46.52M","0.87%"
"04/18/2024","4,400.56","4,393.89","4,403.31","4,359.08","60.08M","0.47%"
"04/17/2024","4,379.89","4,388.39","4,422.42","4,373.51","40.69M","-0.14%"
"04/16/2024","4,385.98","4,400.19","4,411.99","4,366.52","50.24M","-0.90%"
"04/15/2024","4,425.86","4,460.88","4,486.58","4,422.72","35.99M","-0.57%"
"04/12/2024","4,451.28","4,484.51","4,502.31","4,447.38","34.24M","-0.26%"
"04/11/2024","4,462.89","4,465.75","4,490.27","4,447.68","39.82M","-0.11%"
"04/10/2024","4,467.89","4,507.72","4,538.26","4,454.42","40.36M","-0.16%"
"04/09/2024","4,475.15","4,463.95","4,502.16","4,457.15","37.01M","0.15%"
"04/08/2024","4,468.50","4,457.22","4,479.60","4,442.95","30.37M","0.26%"
"04/05/2024","4,456.77","4,419.91","4,468.23","4,419.91","44.42M","-0.08%"
"04/04/2024","4,460.14","4,413.85","4,464.54","4,410.89","35.32M","1.35%"
"04/03/2024","4,400.92","4,387.69","4,406.91","4,374.39","34.05M","0.55%"
"04/02/2024","4,376.75","4,396.77","4,429.10","4,373.61","42.66M","-0.28%"
"03/28/2024","4,389.23","4,419.90","4,424.11","4,373.01","42.11M","-0.74%"
"03/27/2024","4,422.03","4,397.49","4,433.26","4,388.78","32.00M","0.14%"
"03/26/2024","4,415.89","4,401.68","4,416.16","4,358.16","33.88M","0.09%"
"03/25/2024","4,411.73","4,397.18","4,411.78","4,362.55","33.37M","0.13%"
"03/22/2024","4,405.92","4,392.59","4,414.64","4,379.03","39.09M","-0.69%"
"03/21/2024","4,436.34","4,430.15","4,443.81","4,407.97","43.11M","0.93%"
"03/20/2024","4,395.25","4,398.86","4,401.78","4,371.05","34.57M","-0.14%"
"03/19/2024","4,401.33","4,360.51","4,402.15","4,347.62","37.07M","0.90%"
"03/18/2024","4,362.08","4,395.72","4,407.64","4,356.39","36.35M","-0.65%"
"03/15/2024","4,390.60","4,397.37","4,415.81","4,389.44","90.53M","0.04%"
"03/14/2024","4,388.94","4,428.56","4,433.60","4,386.68","41.66M","-0.72%"
"03/13/2024","4,420.83","4,436.84","4,447.89","4,420.20","37.98M","-0.40%"
"03/12/2024","4,438.75","4,392.99","4,439.94","4,375.69","33.16M","1.10%"
"03/11/2024","4,390.63","4,402.50","4,413.48","4,372.00","35.40M","-0.51%"
"03/08/2024","4,413.05","4,414.47","4,427.22","4,396.56","28.44M","0.12%"
"03/07/2024","4,407.95","4,354.76","4,430.17","4,342.03","35.16M","0.85%"
"03/06/2024","4,370.89","4,365.48","4,381.33","4,359.27","33.80M","0.06%"
"03/05/2024","4,368.47","4,381.54","4,391.44","4,364.84","25.73M","-0.68%"
"03/04/2024","4,398.41","4,425.22","4,431.68","4,387.44","26.93M","-0.67%"
"03/01/2024","4,428.13","4,404.30","4,431.09","4,403.36","24.32M","0.11%"
"02/29/2024","4,423.38","4,446.64","4,455.17","4,404.09","64.57M","-0.51%"
"02/28/2024","4,446.05","4,448.68","4,455.19","4,431.02","27.40M","-0.03%"
"02/27/2024","4,447.29","4,427.44","4,448.72","4,420.78","25.83M","0.65%"
"02/26/2024","4,418.68","4,429.18","4,440.56","4,409.67","26.06M","-0.60%"
"02/23/2024","4,445.55","4,456.20","4,463.41","4,426.98","24.98M","-0.06%"
"02/22/2024","4,448.36","4,494.57","4,504.00","4,448.36","26.61M","-0.19%"
"02/21/2024","4,457.01","4,440.50","4,477.11","4,439.10","30.91M","0.27%"
"02/20/2024","4,444.99","4,437.71","4,454.99","4,422.16","24.32M","0.00%"
"02/19/2024","4,445.07","4,456.48","4,463.86","4,434.84","20.69M","-0.50%"
"02/16/2024","4,467.28","4,401.20","4,467.57","4,401.20","35.69M","1.95%"
"02/15/2024","4,381.62","4,360.55","4,391.87","4,356.69","64.74M","0.75%"
"02/14/2024","4,349.06","4,345.74","4,360.13","4,331.04","27.42M","0.00%"
"02/13/2024","4,349.19","4,392.09","4,418.68","4,335.95","36.22M","-1.03%"
