"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2018","1,729.38","1,730.33","1,733.59","1,725.84","","-0.05%"
"11/29/2018","1,730.33","1,724.01","1,731.95","1,722.28","","0.26%"
"11/28/2018","1,725.84","1,724.79","1,726.83","1,720.44","","0.06%"
"11/27/2018","1,724.79","1,736.35","1,736.35","1,723.75","","-0.67%"
"11/26/2018","1,736.35","1,726.62","1,740.87","1,726.58","","0.41%"
"11/23/2018","1,729.34","1,721.42","1,729.34","1,713.37","","0.41%"
"11/22/2018","1,722.34","1,734.51","1,734.51","1,713.83","","-0.62%"
"11/21/2018","1,733.14","1,734.14","1,735.88","1,723.14","","-0.06%"
"11/20/2018","1,734.14","1,747.23","1,747.23","1,734.14","","-0.75%"
"11/19/2018","1,747.23","1,757.28","1,757.28","1,743.21","","-0.52%"
"11/16/2018","1,756.44","1,749.13","1,756.57","1,746.68","","0.42%"
"11/15/2018","1,749.13","1,749.16","1,751.98","1,744.98","","0.03%"
"11/14/2018","1,748.59","1,760.20","1,760.20","1,746.61","","-0.68%"
"11/13/2018","1,760.60","1,767.20","1,767.35","1,754.49","","-0.40%"
"11/12/2018","1,767.66","1,786.19","1,786.19","1,766.47","","-1.04%"
"11/09/2018","1,786.19","1,785.70","1,788.77","1,783.22","","0.03%"
"11/08/2018","1,785.70","1,783.49","1,787.71","1,778.60","","0.10%"
"11/07/2018","1,783.95","1,776.97","1,788.34","1,775.38","","0.43%"
"11/06/2018","1,776.39","1,772.03","1,776.64","1,768.67","","0.28%"
"11/05/2018","1,771.45","1,769.80","1,778.81","1,768.97","","0.09%"
"11/02/2018","1,769.80","1,779.13","1,781.36","1,769.80","","-0.52%"
"10/31/2018","1,779.13","1,789.16","1,790.22","1,773.68","","-0.59%"
"10/30/2018","1,789.68","1,788.26","1,799.54","1,787.28","","0.01%"
"10/29/2018","1,789.42","1,798.00","1,803.19","1,785.96","","-0.48%"
"10/26/2018","1,798.00","1,788.18","1,800.26","1,788.18","","0.55%"
"10/25/2018","1,788.18","1,783.10","1,791.07","1,778.76","","0.31%"
"10/24/2018","1,782.68","1,785.49","1,788.10","1,780.25","","-0.18%"
"10/23/2018","1,785.90","1,787.62","1,787.62","1,778.36","","-0.07%"
"10/22/2018","1,787.16","1,774.25","1,788.98","1,774.25","","0.71%"
"10/19/2018","1,774.64","1,776.23","1,778.84","1,766.95","","-0.09%"
