"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2018","39,006.52","39,578.87","39,586.30","38,902.18","3.85M","-1.45%"
"12/21/2018","39,578.63","39,585.66","39,678.30","39,215.90","5.59M","-0.04%"
"12/20/2018","39,592.68","39,807.13","39,807.13","39,304.46","4.14M","-0.93%"
"12/19/2018","39,966.19","39,475.24","39,966.19","39,070.65","3.66M","1.24%"
"12/18/2018","39,475.61","39,682.77","39,682.77","39,322.33","4.33M","-0.50%"
"12/17/2018","39,675.76","40,125.72","40,125.72","39,662.91","2.40M","-1.12%"
"12/14/2018","40,125.72","40,041.71","40,125.72","39,711.02","3.22M","0.21%"
"12/13/2018","40,041.71","39,886.48","40,062.63","39,757.98","3.81M","0.39%"
"12/12/2018","39,887.22","39,820.47","40,105.90","39,629.35","2.65M","0.07%"
"12/11/2018","39,860.23","39,240.88","40,004.15","39,240.88","3.51M","1.58%"
"12/10/2018","39,238.44","39,385.11","39,872.91","39,110.36","3.19M","-0.37%"
"12/07/2018","39,384.56","39,831.27","40,137.82","39,229.17","3.00M","-0.91%"
"12/06/2018","39,747.13","40,614.35","40,614.35","39,732.12","5.32M","-2.27%"
"12/05/2018","40,670.44","40,945.47","40,945.47","40,509.28","5.27M","-0.67%"
"12/04/2018","40,945.47","40,579.00","40,945.47","40,393.57","4.05M","0.90%"
"12/03/2018","40,579.82","40,228.66","40,763.78","40,228.66","5.14M","1.17%"
"11/30/2018","40,109.37","39,840.60","40,189.46","39,756.54","8.13M","0.62%"
"11/29/2018","39,861.63","39,656.25","39,925.41","39,656.25","3.87M","0.52%"
"11/28/2018","39,656.25","39,601.70","39,656.25","39,454.75","3.46M","0.14%"
"11/27/2018","39,601.70","39,593.08","39,777.26","39,394.70","4.01M","0.01%"
"11/26/2018","39,598.29","39,379.78","39,598.29","39,253.08","4.45M","0.55%"
"11/23/2018","39,379.78","39,489.38","39,491.59","39,189.84","2.50M","-0.28%"
"11/22/2018","39,489.38","39,432.65","39,489.38","39,200.17","3.53M","0.15%"
"11/21/2018","39,431.33","39,055.87","39,431.33","39,045.61","6.11M","0.96%"
