"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2024","924.70","920.64","924.70","917.76","38.96M","0.11%"
"06/07/2024","923.71","926.61","927.44","919.99","40.66M","0.04%"
"06/06/2024","923.36","923.91","924.87","920.32","41.42M","0.51%"
"06/05/2024","918.67","906.92","919.40","906.26","48.85M","1.88%"
"06/04/2024","901.68","904.54","906.43","897.69","55.31M","-0.38%"
"06/03/2024","905.10","913.58","914.29","904.54","46.12M","0.16%"
"05/31/2024","903.61","905.56","909.43","902.32","184.94M","-0.22%"
"05/30/2024","905.58","902.92","907.71","902.17","41.40M","-0.03%"
"05/29/2024","905.83","912.47","912.82","903.14","48.29M","-0.70%"
"05/28/2024","912.23","916.43","916.80","910.24","42.74M","-0.42%"
"05/27/2024","916.04","914.18","916.04","913.39","21.42M","0.09%"
"05/24/2024","915.21","906.43","915.70","905.42","36.65M","0.10%"
"05/23/2024","914.27","916.11","918.85","912.45","33.94M","0.41%"
"05/22/2024","910.52","910.76","912.34","908.64","36.76M","-0.11%"
"05/21/2024","911.51","911.61","912.66","908.76","43.95M","-0.38%"
"05/20/2024","914.95","912.89","915.06","912.66","34.85M","0.19%"
"05/17/2024","913.25","911.09","914.70","908.73","61.19M","-0.03%"
"05/16/2024","913.56","913.48","914.05","909.60","58.36M","0.02%"
"05/15/2024","913.39","913.34","914.45","909.36","60.73M","0.30%"
"05/14/2024","910.63","911.16","912.71","908.36","55.42M","-0.14%"
"05/13/2024","911.91","912.70","913.54","910.03","47.86M","0.14%"
"05/10/2024","910.59","906.22","911.44","906.22","49.97M","0.71%"
"05/09/2024","904.21","900.84","905.61","900.84","44.39M","0.51%"
"05/08/2024","899.60","901.07","902.49","897.90","50.56M","-0.05%"
"05/07/2024","900.06","896.00","900.76","894.25","56.57M","1.00%"
"05/06/2024","891.13","890.64","893.76","888.90","38.82M","0.42%"
"05/03/2024","887.44","881.80","889.77","881.80","58.42M","0.99%"
"05/02/2024","878.71","873.54","881.28","873.51","78.63M","-0.01%"
"04/30/2024","878.83","884.15","884.64","877.88","57.77M","-0.39%"
"04/29/2024","882.27","882.58","890.12","882.17","56.79M","-0.04%"
"04/26/2024","882.63","876.43","884.78","876.37","53.02M","1.42%"
"04/25/2024","870.27","872.77","877.38","864.34","60.27M","-0.43%"
"04/24/2024","874.02","879.44","883.13","872.78","66.18M","-0.09%"
"04/23/2024","874.79","873.96","875.77","871.02","61.09M","0.96%"
"04/22/2024","866.51","865.48","868.44","864.49","53.18M","0.76%"
"04/19/2024","860.01","859.10","863.30","858.09","70.44M","-0.62%"
"04/18/2024","865.36","868.84","868.84","862.43","55.80M","0.00%"
"04/17/2024","865.35","866.50","876.58","865.35","53.95M","-1.07%"
"04/16/2024","874.67","872.36","876.96","871.06","66.31M","-1.06%"
"04/15/2024","884.07","883.14","890.58","881.62","51.49M","0.07%"
"04/12/2024","883.45","891.55","894.52","881.14","63.05M","-0.04%"
"04/11/2024","883.79","886.41","891.11","879.51","57.78M","-0.32%"
"04/10/2024","886.67","889.56","891.56","879.35","56.87M","0.64%"
"04/09/2024","881.03","884.25","888.81","879.19","50.55M","-0.43%"
"04/08/2024","884.86","879.58","885.52","879.37","44.16M","0.48%"
"04/05/2024","880.63","875.83","880.89","874.26","50.53M","-0.40%"
"04/04/2024","884.17","884.88","886.82","883.21","47.33M","0.01%"
