"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2025","7,780.46","7,760.75","7,795.81","7,753.74","117.73M","0.75%"
"08/14/2025","7,722.76","7,760.59","7,764.89","7,719.96","71.85M","-0.47%"
"08/13/2025","7,759.56","7,773.80","7,804.09","7,756.33","67.75M","0.06%"
"08/12/2025","7,754.94","7,757.92","7,774.96","7,724.09","74.01M","0.13%"
"08/11/2025","7,744.72","7,779.85","7,779.85","7,706.05","85.44M","-0.46%"
"08/08/2025","7,780.27","7,786.71","7,830.90","7,780.27","117.69M","0.23%"
"08/07/2025","7,762.45","7,731.30","7,771.53","7,725.73","129.25M","0.27%"
"08/06/2025","7,741.34","7,719.57","7,748.66","7,711.00","80.08M","0.40%"
"08/05/2025","7,710.15","7,727.66","7,741.50","7,686.34","94.34M","-0.25%"
"08/04/2025","7,729.71","7,655.10","7,732.58","7,652.55","136.94M","1.35%"
"08/01/2025","7,626.71","7,692.01","7,692.01","7,590.90","130.70M","-1.10%"
"07/31/2025","7,711.92","7,673.24","7,767.47","7,662.57","258.81M","0.65%"
"07/30/2025","7,661.89","7,685.76","7,729.06","7,661.89","85.83M","-0.34%"
"07/29/2025","7,687.85","7,669.94","7,692.41","7,622.33","85.91M","0.19%"
"07/28/2025","7,672.94","7,762.86","7,766.02","7,666.71","84.53M","-0.44%"
"07/25/2025","7,706.91","7,667.92","7,708.81","7,644.25","76.19M","-0.39%"
"07/24/2025","7,737.00","7,740.56","7,751.95","7,699.60","144.15M","0.25%"
"07/23/2025","7,717.75","7,765.40","7,765.40","7,699.00","72.79M","-0.37%"
"07/22/2025","7,746.21","7,696.76","7,751.00","7,669.02","75.33M","0.97%"
"07/21/2025","7,671.77","7,696.94","7,721.24","7,632.05","60.50M","-0.03%"
"07/18/2025","7,674.13","7,740.64","7,750.00","7,674.13","93.57M","-0.28%"
"07/17/2025","7,695.57","7,717.45","7,720.95","7,694.61","45.62M","0.02%"
"07/16/2025","7,694.04","7,726.96","7,788.48","7,694.04","73.20M","-0.17%"
"07/15/2025","7,707.37","7,736.19","7,777.28","7,707.37","47.00M","0.00%"
"07/14/2025","7,707.65","7,695.22","7,727.46","7,693.43","36.31M","-0.25%"
"07/11/2025","7,727.02","7,742.88","7,764.94","7,702.90","69.56M","-0.27%"
"07/10/2025","7,747.77","7,805.90","7,821.11","7,747.77","79.10M","-0.56%"
"07/09/2025","7,791.75","7,758.19","7,792.59","7,737.04","66.42M","0.75%"
"07/08/2025","7,733.44","7,738.98","7,773.69","7,722.02","104.79M","0.01%"
"07/07/2025","7,732.97","7,773.21","7,784.18","7,702.51","85.29M","-0.57%"
"07/04/2025","7,777.66","7,736.47","7,795.08","7,727.41","61.98M","0.30%"
"07/03/2025","7,754.57","7,670.10","7,766.33","7,666.02","67.38M","1.60%"
"07/02/2025","7,632.55","7,633.65","7,678.84","7,596.96","86.23M","0.51%"
"07/01/2025","7,594.17","7,534.01","7,597.38","7,521.64","65.99M","1.85%"
"06/30/2025","7,456.27","7,504.83","7,509.33","7,419.64","58.20M","-0.89%"
"06/27/2025","7,523.59","7,438.39","7,523.59","7,425.39","57.44M","1.24%"
"06/26/2025","7,431.19","7,423.61","7,455.53","7,409.48","50.63M","0.49%"
"06/25/2025","7,394.60","7,456.36","7,461.18","7,391.60","74.85M","-0.77%"
"06/24/2025","7,452.08","7,408.71","7,508.17","7,383.67","109.88M","0.57%"
"06/23/2025","7,409.73","7,410.07","7,433.22","7,374.35","73.37M","-0.47%"
"06/20/2025","7,444.96","7,397.29","7,469.71","7,397.29","192.41M","0.71%"
"06/19/2025","7,392.67","7,371.02","7,402.94","7,371.02","47.10M","0.05%"
