"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2021","7,259.90","7,333.15","7,386.64","7,220.56","18.71M","-1.01%"
"02/09/2021","7,334.30","7,360.38","7,390.38","7,308.74","20.45M","-0.36%"
"02/08/2021","7,360.70","7,363.80","7,419.75","7,353.72","14.71M","-0.02%"
"02/05/2021","7,361.96","7,358.58","7,425.29","7,345.69","18.49M","0.05%"
"02/04/2021","7,358.02","7,337.85","7,378.97","7,277.13","18.94M","0.28%"
"02/03/2021","7,337.61","7,306.40","7,393.42","7,306.40","25.97M","0.50%"
"02/02/2021","7,301.45","7,123.32","7,306.52","7,123.32","28.42M","2.47%"
"02/01/2021","7,125.51","7,030.01","7,148.02","7,023.32","19.70M","1.11%"
"01/29/2021","7,047.30","7,147.08","7,147.08","7,023.53","27.94M","-1.39%"
"01/28/2021","7,146.41","7,064.77","7,172.78","6,969.65","29.05M","1.08%"
"01/27/2021","7,070.24","7,248.34","7,248.34","7,030.48","35.86M","-2.45%"
"01/26/2021","7,247.46","7,206.26","7,289.40","7,206.26","25.11M","0.57%"
"01/25/2021","7,206.59","7,353.98","7,392.89","7,189.57","24.37M","-2.01%"
"01/22/2021","7,354.25","7,476.13","7,480.34","7,289.06","33.46M","-1.63%"
"01/21/2021","7,476.18","7,435.77","7,538.03","7,435.77","22.82M","0.26%"
"01/20/2021","7,456.90","7,457.84","7,494.65","7,427.30","32.55M","0.14%"
"01/19/2021","7,446.48","7,445.90","7,508.85","7,441.24","18.53M","0.02%"
"01/18/2021","7,445.34","7,524.26","7,528.01","7,437.24","12.91M","-1.04%"
"01/15/2021","7,523.41","7,555.11","7,566.11","7,478.37","47.82M","-0.63%"
"01/14/2021","7,571.08","7,565.69","7,604.10","7,528.45","25.18M","0.07%"
"01/13/2021","7,565.69","7,670.46","7,695.82","7,565.69","34.03M","-1.33%"
"01/12/2021","7,667.98","7,641.95","7,697.04","7,637.55","18.63M","0.28%"
"01/11/2021","7,646.68","7,700.51","7,750.18","7,618.54","32.52M","-0.70%"
"01/08/2021","7,700.65","7,760.80","7,834.77","7,700.65","22.66M","-0.77%"
"01/07/2021","7,760.07","7,723.01","7,814.90","7,705.55","25.49M","0.60%"
"01/06/2021","7,713.54","7,383.74","7,739.96","7,383.74","28.85M","4.46%"
"01/05/2021","7,384.14","7,498.31","7,502.51","7,335.88","31.96M","-1.46%"
"01/04/2021","7,493.57","7,390.53","7,601.91","7,390.53","28.01M","1.59%"
"12/31/2020","7,376.33","7,531.53","7,531.53","7,376.33","","-2.06%"
"12/30/2020","7,531.53","7,553.87","7,584.46","7,525.02","10.68M","-0.28%"
"12/29/2020","7,552.90","7,456.46","7,558.01","7,451.96","18.24M","1.30%"
"12/28/2020","7,455.76","7,455.76","7,455.76","7,455.76","","0.00%"
"12/24/2020","7,455.76","7,479.35","7,500.74","7,424.16","5.41M","-0.25%"
"12/23/2020","7,474.66","7,347.64","7,474.66","7,347.64","15.64M","1.73%"
"12/22/2020","7,347.57","7,302.71","7,372.22","7,296.24","23.90M","0.62%"
