"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2019","2,905.75","2,924.58","2,928.59","2,896.41","4.19M","-0.64%"
"10/02/2019","2,924.44","2,991.54","2,991.54","2,924.10","4.37M","-2.29%"
"10/01/2019","2,992.87","3,009.96","3,030.06","2,988.90","3.45M","-0.59%"
"09/30/2019","3,010.61","3,020.93","3,034.95","3,006.11","4.12M","-0.35%"
"09/27/2019","3,021.23","2,998.34","3,022.58","2,997.71","3.12M","0.78%"
"09/26/2019","2,997.89","2,998.24","3,018.01","2,990.68","3.44M","0.00%"
"09/25/2019","2,998.02","3,034.50","3,034.50","2,959.46","2.97M","-1.19%"
"09/24/2019","3,034.15","3,034.41","3,042.43","3,023.57","3.05M","-0.02%"
"09/23/2019","3,034.71","3,068.00","3,068.00","3,010.27","3.35M","-1.09%"
"09/20/2019","3,068.04","3,068.91","3,070.67","3,044.43","11.26M","-0.03%"
"09/19/2019","3,069.00","3,042.79","3,069.00","3,031.53","3.72M","0.96%"
"09/18/2019","3,039.89","3,044.79","3,051.88","3,032.29","3.47M","-0.18%"
"09/17/2019","3,045.47","3,052.12","3,055.34","3,027.95","4.19M","-0.22%"
"09/16/2019","3,052.20","3,032.74","3,063.26","3,012.22","3.65M","0.64%"
"09/13/2019","3,032.81","3,017.79","3,037.72","3,009.42","3.82M","0.48%"
"09/12/2019","3,018.27","3,000.54","3,039.70","2,997.29","4.66M","0.60%"
"09/11/2019","3,000.21","2,992.81","3,030.14","2,992.48","4.70M","0.25%"
"09/10/2019","2,992.81","2,957.22","2,998.28","2,944.07","4.55M","1.22%"
"09/09/2019","2,956.86","2,937.12","2,959.26","2,936.80","3.23M","0.72%"
"09/06/2019","2,935.72","2,931.98","2,945.22","2,922.28","3.78M","0.16%"
"09/05/2019","2,930.92","2,908.75","2,941.14","2,906.06","4.26M","0.78%"
"09/04/2019","2,908.35","2,880.92","2,920.45","2,880.92","2.87M","0.96%"
